sample_index,t,risk,state,flags,flags_dec,time,pos,vel,imu,stale,heading,stationary,innovation,rejected,raw_line
16,206387086.421,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387086.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
17,206387086.671,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387086.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
18,206387086.921,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387086.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
19,206387087.171,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387087.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
20,206387087.421,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387087.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
21,206387087.671,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387087.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
22,206387087.921,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387087.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
23,206387088.171,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387088.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
24,206387088.421,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387088.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
25,206387088.921,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387088.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
26,206387089.171,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387089.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
27,206387089.421,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387089.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
28,206387089.671,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387089.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
29,206387089.921,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387089.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
30,206387090.171,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387090.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
31,206387090.421,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387090.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
32,206387090.671,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387090.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
33,206387090.921,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387090.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
34,206387091.171,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387091.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
35,206387091.421,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387091.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
36,206387091.671,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387091.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
37,206387091.921,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387091.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
38,206387092.171,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387092.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
39,206387092.421,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387092.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
40,206387092.671,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387092.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
41,206387092.921,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387092.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
42,206387093.171,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387093.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
43,206387093.421,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387093.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
44,206387093.671,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387093.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
45,206387093.921,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387093.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
46,206387093.921,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387093.921,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
47,206387094.421,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387094.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
48,206387094.671,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387094.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
49,206387094.921,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387094.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
50,206387095.171,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387095.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
51,206387095.421,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387095.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
52,206387095.671,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387095.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
53,206387095.921,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387095.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
54,206387096.171,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387096.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
55,206387096.421,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387096.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
56,206387096.671,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387096.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
57,206387096.921,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387096.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
58,206387097.171,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387097.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
59,206387097.421,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387097.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
60,206387097.671,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387097.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
61,206387097.921,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387097.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
62,206387098.171,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387098.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
63,206387098.421,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387098.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
64,206387098.671,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387098.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
65,206387098.921,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387098.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
66,206387099.171,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387099.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
67,206387099.421,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387099.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
68,206387099.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387099.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
69,206387100.171,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387100.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
70,206387100.421,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387100.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
71,206387100.671,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387100.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
72,206387100.921,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387100.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
73,206387101.171,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387101.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
74,206387101.421,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387101.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
75,206387101.671,0.2,0,0x0004,4,0,0,1,0,0,0,0,0,0,"AS,t=206387101.671,risk=0.20,state=0,flags=0x0004,time=0,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
76,206387101.921,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387101.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
77,206387102.171,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387102.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
78,206387102.421,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387102.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
79,206387102.671,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387102.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
80,206387102.921,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387102.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
81,206387103.171,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387103.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
82,206387103.421,0.0,0,0x0000,0,0,0,0,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
83,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
84,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
85,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
86,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
87,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
88,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
89,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
90,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
91,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
92,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
93,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
94,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
95,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
96,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
97,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
98,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
99,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
100,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
101,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
102,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
103,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
104,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
105,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
106,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
107,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
108,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
109,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
110,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
111,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
112,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
113,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
114,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
115,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
116,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
117,206387103.421,0.5,1,0x0005,5,1,0,1,0,0,0,0,0,0,"AS,t=206387103.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0"
